2020-04-06 19:15:23 ,660 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008018     ,17.165           ,0.00785       ,66.398            ,2.140127%   ,0.410000% ,1.730127%
2020-04-06 19:15:38 ,405 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,NXT/BTC   ,1.55e-06     ,11538.46153845   ,1.32e-06      ,15831.38565658    ,17.424242%  ,0.400000% ,17.024242%
2020-04-06 19:15:42 ,774 INFO ,   OPPORTUNITY ,Kraken       ,Bitfinex     ,BTC/GBP   ,5886.7       ,22.18022783      ,5849.1        ,0.0037            ,0.642834%   ,0.460000% ,0.182834%
2020-04-06 19:16:15 ,251 INFO ,   OPPORTUNITY ,Binance      ,OKEX         ,XMR/ETH   ,0.35088      ,11.468           ,0.346         ,12.442            ,1.410405%   ,0.250000% ,1.160405%
2020-04-06 19:16:27 ,736 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,NXT/BTC   ,1.55e-06     ,11538.46153845   ,1.32e-06      ,15831.38565658    ,17.424242%  ,0.400000% ,17.024242%
2020-04-06 19:16:45 ,922 INFO ,   OPPORTUNITY ,OKEX         ,Bitfinex     ,VSYS/BTC  ,3.85e-06     ,329.8            ,3.83e-06      ,327.19948053      ,0.522193%   ,0.350000% ,0.172193%
2020-04-06 19:17:07 ,601 INFO ,   OPPORTUNITY ,OKEX         ,Bitfinex     ,KAN/USDT  ,0.00217      ,7420.0           ,0.002161      ,6790.0            ,0.416474%   ,0.350000% ,0.066474%
2020-04-06 19:18:31 ,783 INFO ,   OPPORTUNITY ,OKEX         ,Poloniex     ,NXT/BTC   ,1.55e-06     ,54411.73179792   ,1.32e-06      ,80668.05046279    ,17.424242%  ,0.240000% ,17.184242%
2020-04-06 19:20:48 ,670 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,XMR/USDT  ,57.73656869  ,10.87326868      ,56.53         ,65.35130386       ,2.134387%   ,0.400000% ,1.734387%
2020-04-06 19:20:54 ,211 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008023     ,79.582           ,0.00785       ,0.001             ,2.203822%   ,0.410000% ,1.793822%
2020-04-06 19:21:08 ,518 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,NXT/BTC   ,1.55e-06     ,11538.46153845   ,1.32e-06      ,15831.38565658    ,17.424242%  ,0.400000% ,17.024242%
2020-04-06 19:22:06 ,235 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008023     ,26.921           ,0.00785       ,30.001            ,2.203822%   ,0.410000% ,1.793822%
2020-04-06 19:22:41 ,926 INFO ,   OPPORTUNITY ,OKEX         ,Bitfinex     ,KAN/USDT  ,0.00217      ,7420.0           ,0.002161      ,6790.0            ,0.416474%   ,0.350000% ,0.066474%
2020-04-06 19:23:43 ,935 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008033     ,17.018           ,0.00785       ,26.99             ,2.331210%   ,0.410000% ,1.921210%
2020-04-06 19:25:14 ,498 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,XMR/ETH   ,0.35056909   ,76.329002        ,0.346         ,26.31583764       ,1.320546%   ,0.400000% ,0.920546%
2020-04-06 19:25:50 ,846 INFO ,   OPPORTUNITY ,OKEX         ,Bitfinex     ,KAN/USDT  ,0.00217      ,7420.0           ,0.002161      ,6790.0            ,0.416474%   ,0.350000% ,0.066474%
