2020-04-07 23:31:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.32779017, 	96.798048, 	54.2, 	90.51014, 	2.080794%, 	0.400000%, 	1.680794%
2020-04-07 23:32:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40357879, 	106.53743826, 	54.2, 	6.295, 	2.220625%, 	0.400000%, 	1.820625%
2020-04-07 23:32:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.48172378, 	102.63267026, 	54.18, 	11.14601826, 	2.402591%, 	0.400000%, 	2.002591%
2020-04-07 23:33:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.48172396, 	101.35383426, 	54.17, 	6.0, 	2.421495%, 	0.400000%, 	2.021495%
2020-04-07 23:33:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.57754034, 	5.14601826, 	54.14, 	109.12453026, 	2.655228%, 	0.400000%, 	2.255228%
2020-04-07 23:34:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.57754049, 	0.35419948, 	54.13, 	6.0, 	2.674193%, 	0.400000%, 	2.274193%
2020-04-07 23:34:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.57754043, 	97.683396, 	54.13, 	97.093164, 	2.674193%, 	0.400000%, 	2.274193%
2020-04-07 23:35:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.57754051, 	97.978512, 	54.13, 	97.486652, 	2.674193%, 	0.400000%, 	2.274193%
2020-04-07 23:35:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.58070016, 	5.14601826, 	54.13, 	6.0, 	2.680030%, 	0.400000%, 	2.280030%
2020-04-07 23:36:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.58070022, 	103.22290226, 	54.13, 	6.0, 	2.680030%, 	0.400000%, 	2.280030%
2020-04-07 23:36:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.58070032, 	97.191536, 	54.13, 	77.65570357, 	2.680030%, 	0.400000%, 	2.280030%
2020-04-07 23:37:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.62417378, 	9.62401826, 	54.13, 	46.8293645, 	2.760343%, 	0.400000%, 	2.360343%
2020-04-07 23:37:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.68897912, 	9.61140639, 	54.12, 	35.4468991, 	2.899075%, 	0.400000%, 	2.499075%
