2020-04-11 14:23:24, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.98e-05, 	2462.0, 	0.988539%, 	0.190000%, 	0.798539%
2020-04-11 14:23:39, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.98e-05, 	1811.0, 	0.988539%, 	0.190000%, 	0.798539%
2020-04-11 14:23:54, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.98e-05, 	1811.0, 	0.988539%, 	0.190000%, 	0.798539%
2020-04-11 14:24:09, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.991e-05, 	300.0, 	0.829638%, 	0.190000%, 	0.639638%
2020-04-11 14:24:24, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.991e-05, 	300.0, 	0.829638%, 	0.190000%, 	0.639638%
2020-04-11 14:24:39, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.991e-05, 	300.0, 	0.829638%, 	0.190000%, 	0.639638%
2020-04-11 14:24:54, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.991e-05, 	300.0, 	0.829638%, 	0.190000%, 	0.639638%
2020-04-11 14:25:09, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.991e-05, 	300.0, 	0.829638%, 	0.190000%, 	0.639638%
2020-04-11 14:25:24, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.991e-05, 	300.0, 	0.829638%, 	0.190000%, 	0.639638%
2020-04-11 14:25:39, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.991e-05, 	215.0, 	0.829638%, 	0.190000%, 	0.639638%
2020-04-11 14:25:54, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.991e-05, 	21.0, 	0.829638%, 	0.190000%, 	0.639638%
